# x_m,y_m,w_tr_right_m,w_tr_left_m
1247.817118,1392.412134,4.388,4.365
1247.904671,1382.490911,4.218,4.447
1245.820199,1372.83378,4.218,4.488
1241.204801,1363.962506,4.141,4.553
1234.486442,1356.679407,4.204,4.249
1226.276742,1351.094013,4.157,3.984
1217.414319,1346.30905,4.182,3.99
1208.610224,1341.509995,4.207,3.996
1199.926159,1336.600482,4.233,4.002
1191.251542,1331.677025,4.258,4.008
1182.553612,1326.769641,4.283,4.014
1173.838389,1321.875212,4.308,4.02
1165.112174,1316.99038,4.334,4.027
1156.381264,1312.111786,4.359,4.033
1147.650399,1307.236649,4.384,4.039
1138.920435,1302.36362,4.41,4.045
1130.191634,1297.491571,4.435,4.051
1121.464257,1292.619375,4.46,4.057
1112.738566,1287.745903,4.485,4.063
1104.014822,1282.870026,4.511,4.069
1095.293287,1277.990618,4.536,4.076
1086.574223,1273.106548,4.561,4.082
1077.857889,1268.216693,4.586,4.088
1069.144141,1263.320879,4.612,4.094
1060.431817,1258.421323,4.637,4.1
1051.719598,1253.520614,4.662,4.106
1043.006164,1248.621338,4.687,4.112
1034.290197,1243.726083,4.713,4.119
1025.570376,1238.837437,4.738,4.125
1016.845384,1233.957986,4.763,4.131
1008.113901,1229.090319,4.788,4.137
999.374607,1224.237022,4.814,4.143
990.62768,1219.398053,4.839,4.149
981.880125,1214.561355,4.864,4.155
973.1409,1209.71144,4.89,4.161
964.418962,1204.832821,4.915,4.168
955.723269,1199.910012,4.94,4.174
947.062776,1194.927525,4.965,4.18
938.446441,1189.869874,4.991,4.186
929.883221,1184.721571,4.916,4.15
921.382073,1179.46713,4.686,4.047
912.952578,1174.091797,4.456,3.945
904.607185,1168.584194,4.226,3.842
896.359171,1162.933915,3.995,3.74
888.221809,1157.130552,4.089,3.739
880.208169,1151.163925,4.264,3.763
872.32046,1145.035839,4.439,3.787
864.544886,1138.765756,4.614,3.812
856.866367,1132.374559,4.509,3.827
849.269822,1125.883129,4.307,3.838
841.739819,1119.312527,4.104,3.85
834.257881,1112.685359,3.902,3.862
826.803967,1106.025024,3.7,3.874
819.358022,1099.354928,3.644,3.881
811.900007,1092.69846,3.659,3.886
804.416733,1086.071047,3.675,3.891
796.912635,1079.467637,3.69,3.895
789.394945,1072.879925,3.705,3.9
781.870892,1066.299609,3.72,3.905
774.347188,1059.718983,3.735,3.91
766.825994,1053.135556,3.751,3.914
759.307123,1046.549533,3.766,3.919
751.790365,1039.96114,3.781,3.924
744.275511,1033.370605,3.796,3.929
736.762353,1026.778156,3.811,3.933
729.250683,1020.18402,3.827,3.938
721.740292,1013.588424,3.842,3.943
714.23097,1006.991596,3.857,3.948
706.72251,1000.393762,3.872,3.952
699.214703,993.795151,3.887,3.957
691.70734,987.19599,3.903,3.962
684.200212,980.596506,3.918,3.967
676.693111,973.996926,3.933,3.971
669.185829,967.397478,3.948,3.976
661.678156,960.79839,3.963,3.981
654.169884,954.199888,3.979,3.986
646.660805,947.602199,3.994,3.99
639.150735,941.005527,4.009,3.995
631.639728,934.409846,4.024,4
624.127959,927.815013,4.039,4.005
616.615604,921.220884,4.055,4.009
609.102839,914.627314,4.07,4.014
601.589841,908.03416,4.085,4.019
594.076787,901.441277,4.1,4.024
586.563852,894.848521,4.115,4.028
579.051213,888.255747,4.131,4.033
571.539042,881.662812,4.146,4.038
564.02741,875.069572,4.161,4.043
556.516303,868.475885,4.176,4.047
549.005702,861.881608,4.191,4.052
541.495588,855.2866,4.207,4.057
533.985942,848.690718,4.222,4.062
526.476746,842.093819,4.237,4.066
518.967982,835.495762,4.252,4.071
511.459629,828.896404,4.267,4.076
503.951659,822.295634,4.283,4.081
496.443835,815.693943,4.298,4.085
488.935733,809.092368,4.313,4.09
481.426922,802.491964,4.328,4.095
473.916971,795.893788,4.344,4.1
466.405448,789.298895,4.359,4.104
458.891923,782.708341,4.374,4.109
451.375964,776.123182,4.389,4.114
443.857141,769.544474,4.404,4.119
436.335355,762.972627,4.42,4.123
428.816989,756.395455,4.435,4.128
421.314321,749.789311,4.45,4.133
413.839848,743.13013,4.465,4.138
406.406064,736.393848,4.477,4.15
399.435419,729.280711,4.382,4.249
395.14486,720.423501,4.654,3.988
394.362773,710.45851,4.298,4.22
395.448905,700.504242,4.193,4.386
396.801885,690.647767,4.147,4.516
397.908602,680.697205,4.101,4.645
398.58291,670.69786,4.065,4.755
398.649449,660.704304,4.16,4.606
397.93286,650.771112,4.171,4.435
396.288092,640.954895,4.115,4.266
393.716149,631.322083,4.485,4.47
390.261973,621.942062,4.252,4.661
385.970514,612.884217,4.24,4.621
380.886855,604.21857,4.352,4.483
375.063691,596.052111,4.414,4.52
368.565373,588.548432,4.265,4.814
361.438351,581.811014,4.446,4.849
353.638102,575.630795,4.632,4.848
345.224132,569.660996,4.837,4.735
337.446745,563.158276,4.796,4.642
332.102527,555.215937,4.801,4.625
329.29695,545.850365,5.054,5.018
327.606646,535.910779,5.777,5.247
326.102267,525.945453,6.117,5.348
324.696749,515.995018,6.057,5.305
323.374359,506.057116,5.997,5.263
322.119365,496.129388,5.937,5.22
320.916035,486.209475,5.877,5.177
319.748636,476.295019,5.817,5.134
318.601435,466.383662,5.757,5.091
317.458701,456.473044,5.697,5.049
316.30483,446.560823,5.637,5.006
315.131883,436.645605,5.577,4.963
313.943736,426.727455,5.517,4.92
312.745278,416.806565,5.457,4.877
311.541395,406.883127,5.397,4.834
310.336974,396.957333,5.337,4.792
309.136902,387.029372,5.277,4.749
307.946066,377.099438,5.217,4.706
306.769353,367.167721,5.157,4.663
305.611612,357.234412,5.097,4.62
304.475361,347.299663,5.036,4.577
303.359501,337.363562,4.976,4.535
302.262623,327.426195,4.957,4.528
301.183316,317.487646,4.949,4.533
300.120172,307.548,4.94,4.537
299.071779,297.60734,4.932,4.542
298.036728,287.665752,4.924,4.546
297.01361,277.723319,4.916,4.55
296.001013,267.780127,4.908,4.555
294.997529,257.836259,4.9,4.559
294.001746,247.8918,4.892,4.563
293.012257,237.946835,4.884,4.568
292.027649,228.001449,4.876,4.572
291.046514,218.055724,4.868,4.577
290.067442,208.109747,4.859,4.581
289.089022,198.1636,4.851,4.585
288.109845,188.21737,4.843,4.59
287.128501,178.27114,4.835,4.594
286.143973,168.324974,4.827,4.598
285.156318,158.378879,4.819,4.603
284.165773,148.432851,4.811,4.607
283.172578,138.486889,4.803,4.612
282.176972,128.54099,4.795,4.616
281.179192,118.59515,4.786,4.62
280.179478,108.649367,4.778,4.625
279.178068,98.703639,4.77,4.629
278.175202,88.757961,4.762,4.633
277.171117,78.812333,4.754,4.638
276.166053,68.86675,4.746,4.642
275.160247,58.92121,4.738,4.647
274.15394,48.97571,4.73,4.651
273.147369,39.030248,4.722,4.655
272.140773,29.084821,4.714,4.66
271.134391,19.139425,4.705,4.664
270.128461,9.194059,4.697,4.668
269.123222,-0.751281,4.689,4.673
268.11885,-10.696597,4.681,4.677
267.115344,-20.641896,4.673,4.682
266.112673,-30.58718,4.667,4.689
265.110806,-40.532456,4.661,4.696
264.109713,-50.477728,4.654,4.704
263.109363,-60.423,4.648,4.712
262.109725,-70.368279,4.642,4.719
261.110769,-80.313568,4.636,4.727
260.112463,-90.258872,4.63,4.735
259.114777,-100.204197,4.624,4.743
258.117681,-110.149547,4.618,4.75
257.121142,-120.094927,4.612,4.758
256.125131,-130.040341,4.606,4.766
255.129617,-139.985796,4.6,4.773
254.134569,-149.931295,4.594,4.781
253.139957,-159.876843,4.588,4.789
252.145749,-169.822446,4.582,4.797
251.151915,-179.768107,4.576,4.804
250.158424,-189.713833,4.57,4.812
249.165245,-199.659627,4.564,4.82
248.172347,-209.605495,4.558,4.827
247.179701,-219.551442,4.552,4.835
246.187274,-229.497472,4.546,4.843
245.195037,-239.44359,4.54,4.851
244.202958,-249.389801,4.534,4.858
243.211007,-259.33611,4.528,4.866
242.219153,-269.282522,4.522,4.874
241.227365,-279.229042,4.516,4.881
240.235613,-289.175673,4.51,4.889
239.243865,-299.122423,4.504,4.897
238.252092,-309.069294,4.498,4.905
237.260261,-319.016292,4.492,4.912
236.268343,-328.963422,4.486,4.92
235.276306,-338.910689,4.48,4.928
234.284121,-348.858098,4.474,4.935
233.291756,-358.805653,4.468,4.943
232.296302,-368.752937,4.462,4.951
231.279893,-378.697345,4.456,4.959
230.219821,-388.635559,4.45,4.966
229.093371,-398.564264,4.444,4.974
227.874499,-408.479233,4.475,4.991
226.302512,-418.312204,4.586,5.004
223.731505,-427.889788,4.95,4.947
219.619586,-437.028325,5.139,5.107
214.154855,-445.541505,5.285,5.128
207.741155,-453.253423,5.197,5.342
200.566673,-460.099969,4.928,5.578
192.696149,-466.080984,4.84,5.595
184.192869,-471.197066,5.137,5.42
175.120156,-475.448725,5.271,5.332
165.574466,-478.753461,5.357,5.207
155.74739,-480.790433,5.136,5.396
145.833603,-481.283146,4.786,5.759
135.95529,-480.408507,4.94,5.618
126.207525,-478.476869,5.338,5.534
116.650433,-475.660108,5.401,5.416
107.324215,-472.051077,5.368,5.331
98.26884,-467.741706,5.219,5.395
89.524269,-462.823913,5.201,5.438
81.125822,-457.374886,5.101,5.53
73.095476,-451.429532,5.024,5.591
65.452833,-445.015219,5.168,5.405
58.217496,-438.159317,5.252,5.305
51.407704,-430.889554,5.259,5.313
45.028178,-423.237223,5.049,5.53
39.075889,-415.235662,4.906,5.632
33.547717,-406.91823,4.866,5.567
28.440543,-398.318288,4.826,5.503
23.751248,-389.469198,4.879,5.419
19.476711,-380.404321,5.003,5.319
15.613813,-371.157016,5.111,5.231
12.159436,-361.760645,5.193,5.163
9.109108,-352.247256,5.222,5.134
6.444866,-342.635781,5.128,5.197
4.140991,-332.93761,5.035,5.261
2.17167,-323.164046,4.892,5.475
0.51109,-313.326391,4.864,5.554
-0.866561,-303.435944,4.975,5.462
-1.987097,-293.504008,5.052,5.383
-2.87633,-283.541884,5.077,5.326
-3.560073,-273.560874,5.118,5.283
-4.064175,-263.572039,5.169,5.233
-4.415269,-253.581115,5.294,5.116
-4.640765,-243.588612,5.397,5.053
-4.768104,-233.59482,5.445,5.129
-4.824724,-223.600028,5.493,5.205
-4.838068,-213.604529,5.541,5.282
-4.835575,-203.60861,5.589,5.358
-4.844686,-193.612563,5.637,5.434
-4.892841,-183.616679,5.685,5.51
-5.006192,-173.621238,5.733,5.586
-5.181915,-163.626331,5.781,5.662
-5.388572,-153.631861,5.829,5.738
