# x_m,y_m,w_tr_right_m,w_tr_left_m
369.101622,811.287688,3.764,3.959
371.399086,801.571487,3.815,3.923
373.757203,791.864871,3.867,3.886
376.164828,782.164046,3.918,3.849
378.59491,772.463551,3.97,3.813
381.020398,762.757925,4.021,3.776
383.414243,753.04171,4.073,3.739
385.749394,743.309443,4.124,3.702
388.001458,733.556465,4.176,3.666
390.33694,723.8355,4.228,3.629
393.240345,714.300123,4.286,3.619
397.279426,705.244382,3.964,3.959
403.001099,697.075284,4.218,4.251
410.228678,690.052915,3.979,4.315
418.459499,684.462534,4.532,3.797
427.645901,681.155773,3.974,4.124
437.600043,679.988694,3.981,4.15
447.679639,678.961576,3.988,4.176
457.600599,677.463925,3.996,4.203
467.455561,676.224644,4.003,4.229
477.30665,675.184961,4.01,4.256
487.201188,674.013582,4.017,4.282
497.173865,672.376461,4.118,4.109
506.990302,669.883564,3.955,4.327
516.158401,666.091236,4.118,4.271
524.175811,660.553971,4.373,4.125
530.62571,653.077497,4.058,4.266
535.331617,644.173517,3.912,4.294
538.158953,634.476824,4.108,4.034
539.024042,624.581631,4.254,4.135
538.327159,614.696369,4.122,4.051
536.736233,604.8161,4.145,4.044
534.917661,594.93372,4.167,4.037
533.259521,585.047481,4.19,4.03
531.70866,575.164126,4.213,4.023
530.172802,565.291154,4.236,4.016
528.57553,555.434018,4.259,4.009
526.919807,545.587949,4.282,4.002
525.233376,535.744983,4.305,3.994
523.543989,525.897156,4.328,3.987
521.8794,516.036504,4.351,3.98
520.267361,506.155063,4.374,3.973
518.735623,496.244869,4.397,3.966
517.355108,486.302967,4.386,3.977
516.411921,476.351369,4.339,4.142
516.259084,466.419851,4.114,4.292
517.236702,456.540277,3.967,4.273
519.422693,446.78677,4.256,4.188
522.651058,437.272763,4.306,4.244
526.746496,428.113087,4.203,4.221
531.516496,419.355246,4.083,4.263
536.72161,410.863141,4.068,4.227
542.114466,402.469659,4.047,4.25
547.468095,394.022567,4.025,4.272
552.744538,385.507436,4.004,4.295
558.008198,376.984472,3.982,4.318
563.323685,368.513821,3.961,4.34
568.706935,360.107654,3.939,4.363
574.098213,351.703541,3.918,4.386
579.431245,343.232608,3.896,4.409
584.575114,334.616521,3.874,4.431
589.082424,325.730621,3.61,4.274
592.409074,316.436097,4.237,3.806
594.040751,306.611592,4.193,3.867
594.047023,296.477688,3.981,4.251
592.966401,286.525994,4.013,4.033
590.778105,276.887697,4.003,4.048
587.222425,267.550656,4.085,4.145
582.379307,258.769734,3.981,4.216
576.514739,250.704786,4.284,4.243
570.10376,243.054207,4.158,4.39
563.442332,235.598904,4.122,4.268
556.631404,228.264586,4.087,4.149
549.764833,220.982226,4.087,4.144
542.910977,213.700556,4.087,4.139
536.070482,206.415477,4.087,4.135
529.23288,199.13063,4.087,4.13
522.388519,191.84935,4.087,4.125
515.535138,184.572207,4.087,4.12
508.674391,177.298304,4.087,4.115
501.807971,170.026728,4.087,4.11
494.937567,162.756569,4.087,4.105
488.064872,155.486916,4.087,4.1
481.191575,148.216857,4.087,4.095
474.319368,140.945481,4.087,4.09
467.449941,133.671878,4.087,4.085
460.584987,126.395136,4.087,4.08
453.726196,119.114343,4.087,4.075
446.875258,111.82859,4.087,4.07
440.033866,104.536964,4.087,4.065
433.203707,97.238556,4.108,4.109
426.385286,89.933039,4.147,4.192
419.575991,82.621626,4.185,4.275
412.772704,75.305777,4.223,4.358
405.972305,67.986954,4.262,4.44
399.171678,60.666617,4.3,4.523
392.367702,53.346228,4.339,4.606
385.55726,46.027248,4.377,4.689
378.737234,38.711139,4.415,4.772
371.904504,31.399361,4.454,4.855
365.055953,24.093375,4.492,4.938
358.188461,16.794643,4.53,5.021
351.298911,9.504626,4.569,5.104
344.384184,2.224785,4.607,5.186
337.431516,-5.025352,4.738,4.993
329.893377,-11.224519,4.941,4.826
320.54169,-13.937807,4.824,5.563
310.392599,-12.34791,5.558,5.006
301.897689,-7.316781,4.944,5.277
294.760632,-0.397033,4.725,5.303
288.09014,7.05114,4.697,5.155
281.562452,14.635315,4.669,5.006
275.059442,22.236231,4.641,4.858
268.565248,29.841014,4.612,4.709
262.067423,37.44034,4.584,4.561
255.553519,45.024886,4.556,4.412
249.01109,52.585326,4.527,4.263
242.427688,60.112338,4.499,4.115
235.784483,67.589261,4.471,3.966
229.007921,74.936535,4.285,4.105
221.996619,82.042613,4.228,3.895
214.649188,88.795926,4.215,3.874
206.950486,95.178282,4.197,3.908
199.103494,101.407648,4.18,3.942
191.345153,107.738753,4.162,3.975
183.844959,114.352006,4.145,4.009
176.197668,120.794447,4.128,4.043
167.79333,126.169962,4.172,3.635
158.419316,129.046073,4.115,4.342
148.346475,129.0995,4.199,4.519
138.365887,127.760917,4.138,3.755
128.961431,125.052644,3.993,4.258
120.397679,119.96046,4.036,4.357
113.289253,112.745518,4.213,4.34
108.351511,104.03814,4.263,4.356
106.26287,94.467605,4.388,4.275
107.079055,84.645281,4.142,4.132
110.337975,75.167643,4.164,4.322
115.561733,66.629746,4.631,3.935
122.254131,59.335462,4.381,4.314
129.875082,52.890203,4.437,4.382
137.878054,46.79682,4.494,4.449
145.768587,40.605267,4.55,4.516
153.466694,34.240383,4.607,4.584
161.09041,27.806116,4.663,4.651
168.757449,21.406216,4.72,4.718
176.516725,15.085983,4.776,4.786
184.322367,8.810211,4.833,4.853
192.121596,2.537821,4.889,4.921
199.869236,-3.767804,4.946,4.988
207.58039,-10.107943,5.002,5.055
215.29885,-16.467053,5.059,5.123
223.056855,-22.838108,5.092,5.181
230.368764,-29.59478,4.619,5.226
236.095415,-37.57759,4.975,4.958
239.974266,-46.763734,4.93,4.878
242.404829,-56.490799,4.763,5.033
243.437488,-66.448735,5.165,5.134
243.026689,-76.424104,4.924,4.916
241.130824,-86.203421,5.26,4.877
237.769724,-95.572491,4.909,5.121
233.011767,-104.316551,4.902,5.217
226.926832,-112.220803,5.026,5.39
219.6258,-119.065039,5.435,4.953
211.312654,-124.616774,5.259,5.549
202.204236,-128.641827,5.521,5.911
192.524226,-130.936741,5.879,5.998
182.547344,-131.527254,5.926,6.27
172.571375,-130.542664,6.415,5.627
162.890798,-128.114063,6.102,6.288
153.666219,-124.422979,5.998,6.518
144.883694,-119.7167,6.17,6.44
136.517552,-114.246929,6.091,6.662
128.524174,-108.25249,6.096,6.652
120.788149,-101.920677,6.102,6.641
113.176119,-95.425905,6.107,6.631
105.556489,-88.940282,6.112,6.621
97.865964,-82.546733,6.118,6.61
90.129808,-76.212537,6.123,6.6
82.379191,-69.897263,6.128,6.59
74.639573,-63.567879,6.134,6.579
66.913666,-57.22083,6.139,6.569
59.19852,-50.859901,6.144,6.558
51.491183,-44.488879,6.15,6.548
43.788704,-38.111548,6.155,6.538
36.088131,-31.731694,6.16,6.527
28.386518,-25.353098,6.166,6.517
20.681872,-18.978319,6.171,6.507
12.974308,-12.607221,6.176,6.496
5.264226,-6.239304,6.182,6.486
