# x_m,y_m,w_tr_right_m,w_tr_left_m
604.269605,343.719374,7.347,7.755
610.233365,335.683043,7.334,7.752
616.076929,327.560277,7.322,7.75
621.808517,319.3605,7.309,7.748
627.438946,311.094939,7.302,7.739
632.979029,302.774823,7.319,7.708
638.438738,294.409182,7.335,7.677
643.822069,285.99146,7.352,7.646
649.130434,277.508364,7.368,7.615
654.365235,268.94658,7.288,7.454
659.374634,260.250331,7.123,7.187
661.910403,250.802701,7.068,7.195
660.405546,240.88449,7.088,6.997
655.152434,232.577908,6.947,7.236
646.594035,227.895556,6.696,7.288
636.829753,227.055715,7.86,7.364
626.691591,227.960125,7.731,7.573
616.674074,228.697117,7.557,7.776
606.752754,229.060173,7.497,7.5
596.809533,229.345231,7.451,7.202
586.820603,230.253129,7.143,7.119
576.922405,232.57215,6.749,7.292
568.183217,237.054277,6.855,7.295
561.931291,244.331383,6.644,6.812
557.865951,253.652765,6.861,6.478
554.554821,263.322648,6.474,6.701
551.090984,272.560689,6.518,6.639
547.215753,281.68108,6.802,6.513
542.627757,290.626189,6.579,6.316
536.933666,298.82654,6.111,6.272
530.139353,306.118271,6.078,6.145
523.061624,313.209846,6.094,6.014
516.320305,320.638269,5.934,6.061
509.491881,327.961833,5.791,6.086
501.972869,334.516263,6.078,5.765
493.494826,339.602383,6.981,6.425
484.008752,342.686147,7.827,8.268
474.017897,344.387901,8.509,8.449
464.18202,345.706484,8.656,8.12
454.373006,346.638151,7.926,8.149
444.032762,346.411627,7.778,7.214
435.888862,341.875798,6.594,6.333
433.837107,332.202006,6.212,5.659
436.520919,322.863354,5.905,6.018
441.291543,314.017675,6.023,6.055
446.295839,305.278965,6.123,6.011
451.341044,296.598185,6.218,5.968
456.419263,287.96381,6.214,5.965
461.522606,279.364317,6.21,5.962
466.643181,270.788183,6.206,5.959
471.773095,262.223884,6.202,5.956
476.904458,253.659898,6.198,5.953
482.029376,245.084701,6.195,5.95
487.141323,236.488207,6.191,5.947
492.249817,227.877231,6.187,5.944
497.374823,219.269591,6.183,5.941
502.536483,210.683291,6.179,5.938
507.754238,202.135931,6.175,5.935
512.974468,193.602763,6.133,6.007
518.007523,184.980203,6.01,6.236
